student_id,student_name,required_subject,grade,location_lat,location_long
S001,Mekhala Divan,Computer Science,7,24.827308485163638,84.9741278286177
S002,Nitesh Aurora,Physics,10,26.478147507203992,80.32909372534198
S003,Aahana Rana,English,12,28.64933290632058,77.47177206073546
S004,Faqid Gopal,Math,7,25.482360682538925,81.88833837482757
S005,Maanav Grewal,English,12,28.49597101885104,77.3727520396242
S006,Harinakshi Kapadia,Science,8,27.137236768179346,77.97873419092573
S007,Samarth Pandya,History,7,26.4240030019837,80.30503727553493
S008,Faqid Modi,Math,9,28.551557546697328,77.43160899638666
S009,Umang Kuruvilla,Chemistry,8,25.199573389144042,86.98762301807379
S010,Jeevika Puri,Physics,9,24.76096933336183,85.0095635294431
S011,Sudiksha Sangha,Science,9,24.79079951508571,85.05301230714589
S012,Vedant Lalla,Science,6,25.623021152400455,85.15834200092567
S013,Varenya Loyal,Computer Science,7,26.434855634793397,80.3603575933337
S014,Isaiah Sehgal,Economics,6,25.27374631496741,86.94218158211231
S015,Watika Sarma,Science,6,28.57417923291577,77.41319356560123
S016,Wriddhish Khanna,Economics,11,26.468553820098744,80.30539778486387
S017,Jagdish Saxena,Science,9,28.628533427009582,77.42335299336989
S018,Harrison Lall,Computer Science,11,26.189562920645987,85.87351696636125
S019,Brijesh Soni,History,11,28.555885214000675,77.3848712557583
S020,Tristan Agarwal,History,9,28.95498188308119,77.71812827296432
S021,Wakeeta Savant,Science,6,25.27555276403662,82.96427776775968
S022,Rajata Rai,History,7,27.224252125354557,77.98185573247532
S023,Xavier Sandal,Physics,12,29.01703692251753,77.7039327717692
S024,Vamakshi Toor,Computer Science,6,24.84525154259128,84.98379217910409
S025,Anita Khare,English,7,26.20109183976212,85.92826968508811
S026,Neelima Sura,Economics,10,25.199965369838175,87.01214191949666
S027,Harini Narayanan,English,10,26.436645246810404,80.34166094953531
S028,Krishna Jaggi,History,10,25.587280982165645,85.17405732508033
S029,Devika Chanda,Math,12,28.63549081711279,77.50119228516131
S030,Radha Buch,Chemistry,11,27.177323083405682,78.02692422568234
S031,Onveer Kade,Math,6,26.802743413931605,80.99054211371161
S032,Januja Choudhury,Biology,12,25.339567674321337,82.93823539556688
S033,Ekansh Maharaj,History,12,25.307204098919797,82.96763919402291
S034,Ekbal Dewan,Physics,10,26.15287066817827,85.32280992203471
S035,Anjali Baria,History,12,26.809332931061682,80.96419084861466
S036,Qarin Badami,Science,10,26.467224845306806,80.30469614414974
S037,Veda Pillai,Science,6,28.4880309992909,77.40304481172585
S038,Yoshita Bhatti,Physics,11,25.28667492279834,82.9382597067704
S039,Gaurangi Chhabra,History,9,28.665367640460374,77.43864238142646
S040,Ubika Venkatesh,English,6,25.616941854212172,85.16318669809151
S041,Wazir Tripathi,English,10,25.463181914177838,81.85298727794267
S042,Yachana Golla,English,6,26.422737908978455,80.31658345775833
S043,Neha Ramanathan,Science,12,25.43137208056839,81.8255685296584
S044,Ranveer Samra,Chemistry,9,26.81085547784043,80.95998552885848
S045,Rajeshri Mohanty,Biology,12,25.355466037118823,82.94440052229493
S046,Meera Rai,Physics,11,26.83061982935945,80.97504672786897
S047,Gopal Andra,Computer Science,11,28.523656087121026,77.42206272284128
S048,Pranit Andra,History,6,25.612615730219563,85.18076907280006
S049,Hemani Oommen,Economics,12,25.595229868026834,85.1144787336432
S050,Forum Nori,Biology,9,26.860810614082403,80.94995511745822
S051,Hemal Shanker,Computer Science,6,28.568265746688848,77.37261267018788
S052,Ayush Bir,Chemistry,7,27.174464078778573,77.97042443283154
S053,Chaitanya Saha,Chemistry,12,26.86362822509711,80.96175119240233
S054,Onkar Kuruvilla,English,12,27.12811371932353,78.00811481208413
S055,Vedant Pingle,Physics,6,25.24781454231926,86.99790201850338
S056,Raghav Sane,History,7,28.69971318555026,77.477824234158
S057,Laban D’Alia,Computer Science,9,26.159376896508952,85.86158490043368
S058,Quincy Dixit,Computer Science,6,25.471601681935258,81.80327508064441
S059,Aarav Chawla,Chemistry,9,28.532621313028606,77.42608378934506
S060,Devika Morar,History,7,26.458755957203962,80.38151702509109
