tutor_id,tutor_name,subject,experience_years,rating,hourly_rate,location,location_lat,location_long
T001,Ekaja Dyal,Science,12,3.19,293,Noida,28.502147404518105,77.3931781411667
T002,Mohammed Jaggi,Science,4,4.96,847,Muzaffarpur,26.151310236023562,85.38034647470586
T003,Bhavna Lad,Science,7,3.61,721,Patna,25.590571421988955,85.18604776446779
T004,Leena Behl,Computer Science,15,3.27,504,Agra,27.188354221131455,77.98447328058195
T005,Zinal Raghavan,Economics,15,4.65,894,Bhagalpur,25.199162081229172,86.98271970706494
T006,Chatura Jain,Economics,9,3.73,926,Noida,28.547080106979475,77.37865404127461
T007,Wahab Wable,Computer Science,11,4.44,962,Gaya,24.763356306304615,84.97239568475275
T008,Zayan Sarin,Science,7,3.8,320,Prayagraj,25.431459854616584,81.82756589489459
T009,Shaurya Dhillon,Physics,7,4.24,384,Lucknow,26.844963929806596,80.92967165573864
T010,Gabriel Vaidya,Biology,1,4.09,452,Patna,25.64345465261135,85.17717894795099
T011,Krisha Bains,Math,14,3.59,736,Muzaffarpur,26.097725151801917,85.40326544183442
T012,Balveer Suri,English,4,4.81,490,Muzaffarpur,26.14238639242029,85.39009492723575
T013,Oeshi Upadhyay,Science,10,3.93,843,Lucknow,26.813919133134334,80.96234728333602
T014,Barkha Srinivasan,Math,9,3.55,318,Meerut,28.99818289818531,77.66007973084052
T015,Reyansh Anne,Science,11,4.51,742,Ghaziabad,28.696982541627698,77.40913857295105
T016,Tara Sahni,Biology,14,3.87,906,Agra,27.188741334797346,77.98420750096666
T017,Ikshita Gill,Computer Science,9,3.35,647,Lucknow,26.827834588569026,80.97993351019026
T018,Faris Bains,Computer Science,1,4.21,430,Lucknow,26.870188627082207,80.93328687454728
T019,Gagan Bajaj,Chemistry,11,3.58,983,Prayagraj,25.461966221535786,81.8013079064115
T020,Harish Rai,Computer Science,8,3.17,289,Prayagraj,25.459958841609037,81.8449106086276
T021,Darika Palan,Computer Science,15,3.61,586,Varanasi,25.277706456827854,82.98843596381458
T022,Pratyush Peri,Math,6,3.7,216,Kanpur,26.427313247713784,80.36660026532498
T023,Dipta Varkey,Computer Science,5,4.25,700,Bhagalpur,25.25620109011843,86.96196665107983
T024,Jeevika Zacharia,History,2,3.18,216,Kanpur,26.436386410817246,80.302612517382
T025,Jhalak Badal,English,4,3.97,951,Kanpur,26.408159897854258,80.29226317777118
T026,Noah Pall,English,6,3.25,448,Darbhanga,26.17462923418898,85.90385218454914
T027,Warinder Hayer,Math,5,4.33,764,Noida,28.524131550453596,77.42615162282488
T028,Falan Bandi,History,2,3.47,515,Lucknow,26.85861594609832,80.95396869418522
T029,Lakshit Halder,Chemistry,3,3.04,902,Patna,25.585321204406796,85.1411101273424
T030,Adya Dhaliwal,Science,9,4.97,813,Meerut,28.983920251041507,77.66331063666138
T031,Balveer Mittal,History,9,5.0,920,Kanpur,26.448832444171494,80.34444801349817
T032,Orinder Thakkar,Physics,3,4.79,590,Prayagraj,25.40447244925819,81.83728537015045
T033,Finn Prakash,Computer Science,14,3.36,380,Kanpur,26.42419566072441,80.30718001502393
T034,Isaiah Venkatesh,English,2,3.99,898,Muzaffarpur,26.076495488130067,85.32682919708643
T035,Rushil Baria,History,1,3.01,269,Meerut,28.99408761340168,77.66524666529786
T036,Bachittar Mammen,Economics,3,4.84,911,Ghaziabad,28.660270864023907,77.48070747629184
T037,Mitesh Biswas,Science,12,3.85,231,Darbhanga,26.111332182132326,85.90096047300776
T038,Advika Char,Math,14,4.01,759,Ghaziabad,28.660379686203786,77.41453860136858
T039,Devansh Samra,Math,9,3.64,913,Lucknow,26.81852737935299,80.92782420354415
T040,Noah Kapur,Biology,3,4.51,915,Darbhanga,26.17010963874548,85.94614269992412
T041,Nandini Viswanathan,Chemistry,9,4.6,992,Patna,25.57430209613113,85.11099025647977
T042,Hemangini Narang,English,3,3.97,318,Lucknow,26.88152389798131,80.93842985158189
T043,Guneet Sathe,Chemistry,10,4.4,854,Patna,25.563327152540545,85.18724728046145
T044,Harish Narula,Math,15,4.49,209,Lucknow,26.849900334533217,80.98690765363867
T045,Ekta Kulkarni,English,2,3.39,434,Muzaffarpur,26.163466510774978,85.35949902321872
T046,Kai Sastry,Computer Science,9,3.92,211,Darbhanga,26.178250043644105,85.91428136755819
T047,Nirja Choudhry,Biology,3,4.32,772,Darbhanga,26.177583463916932,85.88425972225502
T048,Mahika Tank,Physics,10,3.03,917,Prayagraj,25.418417862689026,81.8362178716351
T049,Vrinda Bhatt,Chemistry,3,3.91,897,Varanasi,25.303816507897498,82.99200409751741
T050,Yashvi Raman,Economics,14,3.79,349,Darbhanga,26.144499617618813,85.88596406554265
T051,Veda Tella,History,8,3.99,308,Ghaziabad,28.628542187602914,77.42942132701644
T052,Vasatika Bhat,English,3,3.65,618,Prayagraj,25.473044796287247,81.81617463598117
T053,Oliver Sheth,Physics,4,3.77,596,Noida,28.497843650311268,77.38647963906315
T054,Irya Chatterjee,Chemistry,9,4.68,964,Lucknow,26.80181024790406,80.91681075178528
T055,Lekha Modi,Science,12,4.05,639,Varanasi,25.302085414577682,82.9557509173688
T056,Chandani Dasgupta,Math,8,4.33,899,Muzaffarpur,26.099953657228106,85.39622899441994
T057,Gunbir Mitra,Biology,9,3.67,823,Lucknow,26.82676313531321,80.92794616204279
T058,Aashi Gola,Science,15,4.59,916,Meerut,29.021569184928406,77.73504280645334
T059,Ridhi Kota,Physics,1,4.36,324,Lucknow,26.83507607110568,80.93473117635068
T060,Tanvi Tripathi,Chemistry,6,3.51,676,Gaya,24.761859586187036,84.97928865484276
T061,Kevin Zacharia,Science,6,3.77,324,Prayagraj,25.459442015969934,81.87974389641947
T062,Advika Bir,Chemistry,14,3.77,466,Kanpur,26.426206218653462,80.31885006472146
T063,Keya Krishna,English,3,4.64,896,Noida,28.58006510304552,77.4206125742605
T064,Vasatika Chatterjee,Economics,5,4.4,577,Meerut,28.9941668558419,77.69522622687838
T065,Dalbir Sami,Computer Science,6,4.21,569,Kanpur,26.46885601569669,80.30140059670643
T066,Priya Pillay,History,10,4.78,296,Lucknow,26.800766862564224,80.9523825259816
T067,Rachana Murty,Science,2,4.2,217,Darbhanga,26.18132602768655,85.89487583098325
T068,Vasudha Purohit,Chemistry,6,4.17,724,Meerut,29.023426757975468,77.66154717158048
T069,Tanvi Pathak,Math,7,3.66,360,Bhagalpur,25.213249993558822,86.9714250429471
T070,Omya Barman,Chemistry,12,3.67,707,Ghaziabad,28.66125338728513,77.4651309700135
